ko,en,ja,zh-TW,th,zh-CN,id,tl,ms,hi,vi,af,ak,sq,am,ar,hy,as,ay,az,bm,eu,be,bn,bho,bs,bg,ca,ceb,ny,co,hr,cs,da,dv,doi,nl,eo,et,ee,fi,fr,fy,gl,lg,ka,de,gom,el,gn,gu,ht,ha,haw,hmn,hu,is,ig,ilo,ga,it,kn,kk,km,rw,kri,ku,ckb,ky,lo,la,lv,ln,lt,lb,mk,mai,mg,ml,mt,mni-Mtei,mi,mr,lus,mn,my,ne,nso,no,or,om,ps,fa,pl,pt,pa,qu,ro,ru,sm,sa,gd,sr,st,sn,sd,si,sk,sl,so,es,su,sw,sv,tg,ta,tt,te,ti,ts,tr,tk,uk,ur,ug,uz,cy,xh,yi,yo,zu,he,jv
광기 부여,Grant Frenzy,狂気付与,賦予狂熱,มอบความบ้าคลั่ง,赋予狂气,Menggila,Bigyan ng Frenzy,Berikan Kegilaan,अनुदान उन्माद,Gây điên rồ,Grant Frenzy,Grant Frenzy a ɔyɛ ɔbadwemma,Grant Frenzy,ግራንት ፍሬንሲ,جرانت الهيجان,Grant Frenzy,গ্ৰাণ্ট ফ্ৰেন্সি,Grant Frenzy ukax mä juk’a pachanakanwa,Qrant Frenzy,Grant Frenzy ye,Grant Frenzy,Грант Фрэнзі,গ্রান্ট উন্মাদনা,ग्रांट उन्माद के बा,Grant Frenzy,Грант Френзи,Grant Frenzy,Ihatag ang Frenzy,Grant Frenzy,Grant Frenzy,Grant Frenzy,Grant Frenzy,Grant Frenzy,ގްރާންޓް ފްރެންޒީ އެވެ,उन्माद देना,Gun Frenzy,Grant Frenezo,Grant Frenzy,Grant ƒe alɔmeɖeɖe,Grant Frenzy,Rendre fou,Grant Frenzy,Grant Frenzy,"Grant Frenzy, Omuntu w’abantu",გრანტი ფრენზი,Grant Frenzy,ग्रांट फ्रॅन्झी,Grant Frenzy,Grant Frenesí rehegua,ગ્રાન્ટ પ્રચંડ,Grant foli,Grant Frenzy,Hāʻawi i ka Frenzy,Grant Frenzy,Grant Frenzy,Grant Frenzy,Grant Frenzy,Grant nga Frenzy,Deonaigh frenzy,Concedi Frenesia,ಗ್ರಾಂಟ್ ಫ್ರೆಂಜಿ,Грант Френзи,ផ្តល់ភាពច្របូកច្របល់,Tanga Frenzy,Grant Frɛnzi we dɛn kɔl,Grant Frenzy,گرانت فرێنزی,Грант Frenzy,ໃຫ້ Frenzy,Dona furor,Grants Neprāts,Grant Frenzy ya motema,Grantas Frenzy,Grant Frenzy,Грант Френзи,अनुदान उन्माद,Grant Frenzy,ഗ്രാന്റ് ഫ്രെൻസി,Grant Frenzy,ꯒ꯭ꯔꯥꯟꯇ ꯐ꯭ꯔꯦꯟꯖꯤ ꯇꯧꯕꯥ꯫,Tukua te Frenzy,ग्रँट उन्माद,Grant Frenzy a ni,Грант Frenzy,စိတ်အားထက်သန်မှု ပြုသည်။,अनुदान उन्माद,Grant Frenzy,Grant Frenzy,ଫ୍ରେନ୍ଜି ଗ୍ରାଣ୍ଟ କରନ୍ତୁ |,Grant Frenzy jedhamuun beekama,Grant Frenzy,گرانت فرنزی,Grant Frenzy,Conceder Loucura,ਗ੍ਰਾਂਟ ਫ੍ਰੈਂਜ਼ੀ,Grant Frenzy nisqa,Grant Frenzy,Обезумить,Tuuina atu le Frenzy,अनुदान उन्माद,Grannd Frenzy,Грант Френзи,Grant Frenzy,Grant Frenzy,گرانٽ فرينزي,Grant Frenzy,Grant Frenzy,Grant Frenzy,Grant Frenzy,Desquiciar,Pasihan Frenzy,Grant Frenzy,Grant Frenzy,Грант Френзи,கிராண்ட் ஃப்ரென்ஸி,Грант усаллыгы,గ్రాంట్ ఫ్రెంజీ,ግራንት ፍሬንዚ,Grant Frenzy,hibe çılgınlığı,Frenzy beriň,Грант Френзі,گرانٹ انماد,Grant Frenzy,Grant Frenzy,Grant frenzy,Grant Frenzy,גראַנט פרענזי,Grant Frenzy,Grant Frenzy,גרנט פרנזי,Grant Frenzy
마비,Paralysis,麻痺,麻痺,หยุดชะงัก,麻痹,Lumpuh,Paralisis,Lumpuh,पक्षाघात,Tê liệt,Verlamming,Nnipa a wɔabubu,Paraliza,ሽባ,شلل,Կաթվածահարություն,পক্ষাঘাত,Parálisis sat usu,İflic,Paralizi (paralyse) bɛ mɔgɔ minɛ,Paralisia,Параліч,পক্ষাঘাত,लकवा के बेमारी हो जाला,Paraliza,парализа,Paràlisi,Paralisis,Kupuwala,Paralisi,Paraliza,Ochrnutí,Lammelse,ޕެރަލައިސިސް,लकवा मारना,Verlamming,Paralizo,Halvatus,Lãmetsiwo ƒe lãmetutudɔ,Halvaus,Paralysie,Ferlamming,Parálise,Okusannyalala,დამბლა,Lähmung,पक्षाघात जावप,Παράλυση,Parálisis rehegua,લકવો,Paralezi,Paralysis,ʻO ka lolo,Ua tsis taus pa,Bénulás,Lömun,Ahụ mkpọnwụ,Paralisis,Pairilis,Paralisi,ಪಾರ್ಶ್ವವಾಯು,Паралич,ខ្វិន,Ubumuga,Paralayz we pɔsin kin gɛt,Felcî,ئیفلیجی,Паралич,ອຳມະພາດ,Paralysis,Paralīze,Kozala na paralysie,Paralyžius,Lähmung,Парализа,लकवा,nalemy,പക്ഷാഘാതം,Paraliżi,ꯄꯦꯔꯥꯂꯥꯏꯁꯤꯁ ꯂꯩꯕꯥ꯫,Pararutiki,अर्धांगवायू,Paralysis a awm,Саажилт,လေငန်းရောဂါ,पक्षाघात,Go golofala ga mmele,Lammelse,ପକ୍ଷାଘାତ,Laamsha'uu,فلج,فلج,Paraliż,Paralisar,ਅਧਰੰਗ,Parálisis nisqa unquy,Paralizie,Парализовать,Supa,पक्षाघात,Pairilis,Парализа,Ho shoele litho,Kuoma mitezo,فالج,අංශභාගය,Paralýza,paraliza,Curyaan,Paralizar,Paralisis,Kupooza,Förlamning,Фалаҷ,பக்கவாதம்,Парализ,పక్షవాతం,ሽባነት,Ku oma swirho,Felç,Ysmaz,параліч,فالج,پالەچ,falaj,Parlys,Ukukhubazeka,פּאַראַליסיס,Paralysis,Ukukhubazeka,שיתוק,lumpuh
예지,Prophesy,予知,預言,พยากรณ์,预言,Bernubuat,Magpropesiya,Bernubuat,भविष्यद्वाणी करना,Tiên tri,Profeteer,Hyɛ nkɔm,Profetizoni,ትንቢት ተናገር,تنبأ,Մարգարեանալ,ভৱিষ্যদ্বাণী কৰা,Profeciat parltʼañäni,peyğəmbərlik etmək,Kirayakuma fɔ,profetizatu,Прарочыць,ভবিষ্যদ্বাণী,भविष्यवाणी कइल जाव,Prorokuj,Пророкувайте,Profetitza,Panagna,Losera,Prufezia,prorokovati,Prorokovat,Profeti,ނަބީކަން,भविष्यवाणी करो,profeteren,Profeti,Prohveteeri,Gblɔ nya ɖi,Profetoi,Prophétiser,Profetearje,Profetiza,Lagula,იწინასწარმეტყველე,Prophezeien,भाकीत करप,Προφητεύω,Eprofetisa,ભવિષ્યવાણી,Pwofetize,Yi annabci,wanana,Lus faj lem,Prófétálj,Spáðu,Buo amụma,Agipadto,Tairngreacht,Profetizza,ಭವಿಷ್ಯ ಹೇಳು,Пайғамбарлық,ទំនាយ,Ubuhanuzi,Prɔfɛsi,Pêşdîtin,پێشبینی بکە,Пайгамбарлык кылуу,ພະຍາກອນ,Prophetia,Pravietot,Kosakwela,Pranašauti,Prophesie,Пророкувајте,भविष्यवाणी करब,maminania,പ്രവചിക്കുക,Ipprofetizza,ꯋꯥꯄꯥꯎ ꯁꯟꯗꯣꯀꯄꯥ꯫,Poropiti,भविष्यवाणी,Hrilh lawk rawh,Зөгнө,ပရောဖက်ပြုပါ။,भविष्यवाणी गर्नुहोस्,Seporofeta,Profeti,ଭବିଷ୍ୟବାଣୀ,Raajii dubbadhu,نبوت,پیشگویی کنید,Prorokować,Profetizar,ਭਵਿੱਖਬਾਣੀ,Profeciay,Profetează,Пророчество,vavalo,भविष्यवाणीं कुरुत,Fàisneachd,Пророкуј,profeta,Profita,نبوت,අනාවැකි කියන්න,Prorokovať,Prerokovanje,Wax sii sheeg,Profetizar,ngaramal,Toa unabii,Sia,Пешгӯӣ кардан,தீர்க்கதரிசனம் சொல்லுங்கள்,Пәйгамбәрлек итү,జోస్యం చెప్పండి,ትንቢት ተዛረብ,Vuprofeta,kehanet,Pygamberlik,Пророкувати,نبوت کرنا,پەيغەمبەرلىك,Bashorat qilish,Prophwydo,Profeta,זאָג נביאות,Sọtẹlẹ,Profetha,לְנָבֵּא,medhar wangsit
성별 변경,Gender Transition,性別変更,變更性別,เปลี่ยนเพศ,更改性别,Ganti Jenis Kelamin,Transisyon ng Kasarian,Peralihan Jantina,लिंग परिवर्तन,Đổi giới tính,Geslagsoorgang,Bɔbeasu mu Nsakrae,Tranzicioni gjinor,የሥርዓተ-ፆታ ሽግግር,الانتقال بين الجنسين,Գենդերային անցում,লিংগ পৰিৱৰ্তন,Transición de Género ukaxa mä juk’a pachanakwa lurasi,Gender keçidi,Cɛ ni muso ka ɲɔgɔn falen-falen,Genero Trantsizioa,Гендэрны пераход,লিঙ্গ পরিবর্তন,लैंगिक संक्रमण के बारे में बतावल गइल बा,Gender Transition,Преход на пола,Transició de gènere,Pagbalhin sa Gender,Kusintha kwa Jenda,Transizione di Genere,Prijelaz spolova,Změna pohlaví,Kønsovergang,ޖެންޑަރ ޓްރާންސިޝަން,लैंगिक संक्रमण,Geslachtsovergang,Seksa Transiro,Sooüleminek,Ŋutsuwo Kple Nyɔnuwo ƒe Tɔtrɔ,Sukupuolen siirtyminen,Changer de sexe,Gender Transition,Transición de xénero,Enkyukakyuka mu kikula ky’abantu,გენდერული გადასვლა,Geschlechterübergang,लिंग संक्रमण,Μετάβαση φύλου,Transición de Género rehegua,લિંગ સંક્રમણ,Tranzisyon sèks,Juyin Jinsi,Hoʻololi kāne kāne,Kev hloov ntawm poj niam txiv neej,Nemek közötti átmenet,Kynskipti,Mgbanwe okike,Panagbalbaliw ti Sekso,Idirbhliain Inscne,Transizione di genere,ಲಿಂಗ ಪರಿವರ್ತನೆ,Гендерлік ауысу,ការផ្លាស់ប្តូរយេនឌ័រ,Inzibacyuho,Jɛnda Transishɔn,Gender Transition,گواستنەوەی جێندەر,Гендердик өтүү,ການປ່ຽນເພດ,Genus Transitus,Dzimuma pāreja,Bobongwani ya mibali na basi,Lyties perėjimas,Geschlecht Transitioun,Родова транзиција,लैंगिक संक्रमण,Tetezamita miralenta,ലിംഗമാറ്റം,Transizzjoni tas-Sessi,ꯖꯦꯟꯗꯔ ꯇ꯭ꯔꯥꯟꯁꯤꯁꯟ ꯇꯧꯕꯥ꯫,Whakawhiti Ira tangata,लिंग संक्रमण,Hmeichhia leh mipa inkara inthlak danglamna,Хүйсийн шилжилт,ကျား၊မ ကူးပြောင်းခြင်း။,लिङ्ग संक्रमण,Phetogo ya Bong,Kjønnsovergang,ଲିଙ୍ଗ ପରିବର୍ତ୍ତନ,Ce'umsa Koorniyaa,د جندر لیږد,انتقال جنسیت,Zmiana płci,Alterar Sexo,ਲਿੰਗ ਤਬਦੀਲੀ,Qhari warmi kayninmanta t’ikrakuy,Tranziția de gen,Изменить пол,Suiga o Itupa,लैङ्गिक संक्रमण,Eadar-ghluasad Gnè,Гендер Транситион,Phetoho ea Bong,Gender Transition,جنس جي منتقلي,ලිංග සංක්‍රාන්තිය,Zmena pohlavia,Prehod spola,Kala-guurka Jinsiga,Cambiar género,Transisi Génder,Mpito wa Jinsia,Könsövergång,Гузариши гендерӣ,பாலின மாற்றம்,Гендер күчү,లింగ పరివర్తన,ጾታዊ ምስግጋር,Ku Cinca ka Rimbewu,Cinsiyet Geçişi,Jyns geçişi,Зміна статі,صنفی تبدیلی,جىنىس ئۆزگەرتىش,Jinslarga o'tish,Trawsnewid Rhyw,INguqu yesini,דזשענדער יבערגאַנג,Iyipada akọ,Ukuguqulwa kobulili,מעבר מגדרי,Transisi Gender
정화,Purify,浄化,淨化,ชำระล้าง,净化,Memurnikan,Maglinis,Sucikan,शुद्ध,Thanh tẩy,Suiwer,Tew ho,Pastroni,አጽዳ,تنقية,Մաքրել,বিশুদ্ধ কৰক,Q’umachaña,Təmizləmək,Saniya,Purifikatu,Ачысціць,শুদ্ধ করুন,शुद्ध करे के बा,Purify,Пречистете,Purificar,Pagputli,Yeretsani,Purificà,Pročistiti,Očistit,Rens,ޕިއުރިފައި ކުރާށެވެ,शुद्ध करो,Zuiveren,Purigi,Puhastage,Klɔe,Puhdistaa,Purification,Reinigje,Purificar,Okutukuza,განწმენდა,Reinigen,शुध्द करप,Καθαρίζω,Emopotĩ,શુદ્ધ કરો,Pirifye,Tsarkakewa,Hoomaemae,Purify,Tisztítsd meg,Hreinsaðu,Mee ka ọ dị ọcha,Dalusan,Purify,Purificare,ಶುದ್ಧೀಕರಿಸು,Тазарту,បន្សុទ្ធ,Sukura,Klin yusɛf,Paqij kirin,پاک بکەرەوە,Тазалоо,ຊໍາລະ,Purifica,Attīrīt,Bopetola,Išvalyti,Purify,Прочистете,शुद्ध करब,hanadio,ശുദ്ധീകരിക്കുക,Ippurifika,ꯁꯨꯡꯗꯣꯀꯄꯥ꯫,Pure,शुद्ध करा,Tithianghlim rawh,Цэвэрлэх,သန့်စင်ပါ။,शुद्ध गर्नुहोस्,Hlwekiša,Rens,ଶୁଦ୍ଧ କର |,Qulqulleessi,پاکول,خالص - تصفیه,Oczyścić,Purificar,ਸ਼ੁੱਧ ਕਰੋ,Ch’uyanchakuy,Purifica,Очистить,Faamama,शुद्ध करो,Glanaibh,Пурифи,Hloekisa,Purify,پاڪ ڪرڻ,පවිත්ර කරන්න,Prečistiť,Očistite,Nadiifi,Purificar,Nyucikeun,Safisha,Rena,Пок кардан,சுத்தப்படுத்து,Чистарту,శుద్ధి చేయండి,ኣጽርዮ,Ku basisa,Arındırmak,Arassala,Очистити,پاک کرنا,پاكلاش,Tozalash,Puro,Hlambulula,רייניקן,Sọ di mimọ,Hlanza,לְטַהֵר,ngresiki
품기,Cuddle,抱卵,孵化,กก,孵化,Mengeram,magkayakap,Peluk,गले लगाना,Ấp,Knuffel,Korɔkorɔ,Përqafim,ማቀፍ,يحضن,Փաթաթվել,আলিংগন কৰা,Q'ayachata,Qucaqlamaq,Mùnumɛnɛ,Besarkatu,Абдымацца,আলিঙ্গন করা,छाती से लगावल,Cuddle,Сгушвам се,Abraçar,Gakus,Cuddle,Cuddle,Maziti,Hýčkat,Knus,ލޯބިކުރުން,बिलङनी,Knuffel,Karesi,Kallistama,Mimi,Halaus,Couver,Cuddle,Abrazo,Okuwambaatira,ჩახუტება,Kuscheln,वेंग,Αγκαλιάζω,Añuã,આલિંગન,Karese,Cuddle,Hoʻopili,Cuav,Ölelkezés,Kúra,Jikọọ,Agkubukub,Cuddle,Abbraccio,ಮುದ್ದಾಡಿ,Құшақтау,ថើប,Guhobera,Ɔg,Cuddle,باوەشگرتن,Кучактоо,ກອດ,Cuddle,Apmīļot,Lipwepwe,Priglausti,Kuschel,Гушкање,आलिंगन,hamihina,ആലിംഗനം ചെയ്യുക,Kellu,ꯇꯥꯁꯤꯟꯕ,Awhi,मिठी मारणे,Inkuah,Тэврэх,ပွေ့ပိုက်,अँगालो,Phaphatha,Kose,କୁଡ଼ିଆ |,Hammachuu,کنده,در اغوش گرفتن,Przytulić się,Acolher,ਗਲੇ,Marqay,Îmbrățișa,Обнять,Pipi,लालयति,Còmhdaich,Загрљај,Kgutla,Cuddle,ڪُنڊل,හුරතල් කරන්න,Cuddle,Crkljajte,Cudud,Incubar,Ngeluk,Kumbembeleza,Omfamning,Оғӯш кардан,அரவணைப்பு,Кадр,కౌగిలించుకో,ሓቘፈ,Vukarha,Sarılmak,Tüweleme,обніматися,لپٹنا,Cuddle,Quchoqlash,Cwtsh,Cuddle,קאַדאַל,Cuddle,Cuddle,לְהִתְרַפֵּק,ngepel
회복,Heal,回復,癒合,รักษา,愈合,Sembuh,Pagalingin,Sembuh,ज़ख्म भरना,Chữa lành,Genees,Sa,Shëroni,ፈውስ,يشفي,Բուժել,আৰোগ্য হোৱা,Qullaña,Sağal,Kɛnɛya,Sendatu,Вылечыць,আরোগ্য,घाव ठीक भईल,Ozdravi,Излекувай,Curar,Pag-ayo,Chiritsani,guarì,Liječiti,Vyléčit,Hele,ރަނގަޅުވުން,ठीक होना,Genezen,Sanigi,Tervendada,Yɔ dɔ,Parantaa,Guérir,Hielje,Curar,Okuwona,განკურნე,Heilen,घाव भरप,Θεραπεύω,Monguera,રૂઞ આવવી,Geri,Warkar,Hoola,Kho,Gyógyít,Lækna,gwọọ,Agasan,Cneasaigh,Guarire,ಗುಣಪಡಿಸು,Емдеу,ជាសះស្បើយ,Kiza,Mɛn,Saxkirin,چاک بوونەوە,Айыкты,ປິ່ນປົວ,sana,Dziedināt,Kobikisa,Išgyti,Heelen,Исцели,स्वस्थ भेनाइ,manasitrana,സുഖപ്പെടുത്തുക,Fejqan,ꯑꯣꯏꯁꯤꯟꯕ,Whakaora,बरे करा,Tidam,Эдгэр,ကုစားပါ။,निको पार्नुहोस्,Fodiša,Helbrede,ସୁସ୍ଥ କର |,Fayyisuu,شفا,شفا دادن,Leczyć,Curar,ਚੰਗਾ ਕਰੋ,Hanpiy,Vindeca,Лечить,Faamalolo,उपशम्यति,Slànachadh,Хеал,Folisa,Heal,شفا,සුවපත් කරන්න,Liečiť,ozdravi,bogsii,Sanar,Cageur,Ponya,Läka,Шифо кун,குணமடையுங்கள்,Сәламәт,నయం,ሕወ,Tshungula,İyileştirmek,Sagal,Вилікувати,شفا,ساقايتىڭ,Shifolash,Iachau,Philisa,היילן,Larada,Philisa,לְרַפֵּא,waras
사랑의 화살,Lovestruck Arrow,愛の矢,愛之箭矢,ลูกธนูแห่งความรัก,爱情之箭,Panah Cinta,Lovestruck Arrow,Panah Lovestruck,प्यार से मारा गया तीर,Mũi tên tình yêu,Lovestruck Arrow,Ɔdɔ a Wɔabɔ Agyan,Shigjeta e goditur nga dashuria,Lovestruck ቀስት,Lovestruck Arrow,Սիրահարված նետ,লাভষ্ট্ৰক এৰো,Munasiñampi ch’allt’ata Flecha,Lovestruck Arrow,Kanuya min bɛ wele ko Arrow,Lovestruck Arrow,Закаханая страла,লাভস্ট্রাক তীর,लवस्ट्रक एरो के बा,Lovestruck Arrow,Влюбена стрела,Fletxa enamorada,Lovestruck Arrow,Lovestruck Arrow,Freccia innamorata,Zaljubljena strijela,Zamilovaný šíp,Lovestruck Arrow,ލަވްސްޓްރަކް އެރޯ އެވެ,लवस्ट्रक एरो,Liefdevolle pijl,Amofrapita Sago,Armastatud nool,Lɔlɔ̃ ƒe Aŋutrɔ,Lovestruck Arrow,Flèche de l'amour,Lovestruck Arrow,Frecha enamorada,Omusaale Gukubiddwa Omukwano,Lovestruck Arrow,Liebestrunkener Pfeil,लवस्ट्रक एरो,Lovestruck Arrow,Flecha Mborayhu rehegua,લવસ્ટ્રક એરો,Sou entènèt jwèt Lovestruck Arrow,Kibiya Lovestruck,Puana aloha,Lovestruck Xub,Lovestruck Arrow,Lovestruck Arrow,Lovestruck akụ,Nadungpar ti Ayat a Pana,Arrow Lovestruck,Freccia innamorata,ಲವ್ಸ್ಟ್ರಕ್ ಬಾಣ,Lovestruck Arrow,Lovestruck Arrow,Gukunda Umwambi,Lovestruck Arrow we gɛt lɔv,Lovestruck Arrow,تیری خۆشەویستی لێدرا,Lovestruck Arrow,Lovestruck Arrow,Lovestruck Arrow,Lovestruck Arrow,Flɛche oyo ebɛtami na bolingo,Įsimylėjusi strėlė,Lovestruck Pfeil,Љубовната стрела,लवस्ट्रक एरो,Lovestruck Arrow,ലവ്‌സ്ട്രക്ക് ആരോ,Vleġġa Mħabba,ꯂꯚꯁ꯭ꯠꯔꯛ ꯑꯦꯔꯣ꯫,Pere Lovestruck,लव्हस्ट्रक बाण,Hmangaihna Arrow,Хайртай сум,Lovestruck Arrow,लभस्ट्रक एरो,Motsu wa go Hlabja ke Lerato,Lovestruck Arrow,ଲଭଷ୍ଟ୍ରକ୍ ତୀର |,Xiyya Jaalalaa,مینه ناک تیر,پیکان عاشقانه,Zakochana Strzała,Flecha do Amor,ਲਵਸਟਰਕ ਤੀਰ,Munasqa Flecha,Săgeată îndrăgostită,Стрела любви,Lovestruck Arrow,प्रेमप्रहारः बाणः,Saighead Lovestruck,Ловеструцк Арров,Motsu oa Lovestruck,Museve Werudo,پيار وارو تير,Lovestruck Arrow,Zamilovaný šíp,Zaljubljena puščica,Lovestruck Arrow,Flecha del amor,Panah Lovestruck,Mshale wa Upendo,Lovestruck Arrow,Arrow Lovestruck,லவ்ஸ்ட்ரக் அம்பு,Лавструк ук,లవ్‌స్ట్రక్ బాణం,ፍቕሪ ዝተሃርመ ፍላጻ,Museve Lowu Hlaseriweke Hi Rirhandzu,aşık ok,Söýgi oky,Закохана стріла,محبت بھرا تیر,Lovestruck Arrow,Lovestruck Arrow,Saeth Lovestruck,I-Lovestruck Arrow,Lovestruck Arrow,Lovestruck Arrow,Umcibisholo Wokushaya I-Lovestruck,חץ מוכה אהבה,Panah Lovestruck
성격 간파,Mind Reading,性格見破り,洞悉個性,เจาะลึกนิสัย,识别性格,Memahami Sifat,Pagbabasa ng isip,Bacaan Minda,"जानो, मन में क्या चल रहा है",Thấu hiểu tính cách,Gedagtes lees,Adwene mu Akenkan,Lexim i mendjes,የአእምሮ ንባብ,قراءة الافكار,Մտքի ընթերցում,মন পঢ়া,Amuyunaka Liyt’aña,Ağıl Oxuması,Hakilila Kalan,Adimenaren irakurketa,Чытанне думак,মন পড়া,माइंड रीडिंग के बा,Čitanje uma,Четене на мисли,Lectura de la ment,Pagbasa sa Hunahuna,Kuwerenga Maganizo,Lettura di a mente,Čitanje misli,Čtení myšlenek,Tankelæsning,މައިންޑް ރީޑިންގ,मन पढ़ना,Gedachten lezen,Mensa Legado,Mõtete lugemine,Susu Xexlẽ,Ajatusten lukeminen,Analyser le caractère,Mind Reading,Lectura da mente,Okusoma Ebirowoozo,გონების კითხვა,Gedankenlesen,मन वाचप,Διάβασμα μυαλού,Akã Moñe’ẽrã,મન વાંચન,Lekti lespri,Karatun Hankali,Heluhelu noonoo,Kev Nyeem Ntawv,Gondolatolvasás,Hugalestur,Ọgụgụ uche,Panagbasa iti Isip,Léamh Meabhrach,Lettura della mente,ಮೈಂಡ್ ರೀಡಿಂಗ್,Миды оқу,ការអានចិត្ត,Gusoma Ubwenge,Fɔ Rid di Maynd,Mind Reading,مێشك خوێندنه‌وه‌,Акыл окуу,ການອ່ານໃຈ,Mens Lectio,Domu lasīšana,Botangi ya Makanisi,Minčių skaitymas,Geescht Liesen,Читање ум,मन पढ़ना,Famakiana saina,മൈൻഡ് റീഡിംഗ്,Qari tal-Moħħ,ꯃꯥꯏꯟꯗ ꯔꯤꯗꯤꯡ ꯇꯧꯕꯥ꯫,Panui Hinengaro,मनाचे वाचन,Rilru Chhiar,Оюун ухаан унших,စိတ်ဖြင့် စာဖတ်ခြင်း။,मन पढाइ,Go Bala Mogopolo,Tankelesing,ମନ ପଠନ |,Dubbisa Sammuu,د ذهن لوستل,ذهن خوانی,Czytanie w myślach,Detectar Personalidade,ਮਨ ਪੜ੍ਹਨਾ,Yuyay Ñawinchay,Citirea gandurilor,Узнать характер,Faitauga Mafaufau,मनः पठनम्,Leughadh inntinn,Читање мисли,Ho Bala Kelello,Mind Reading,ذهن پڙهڻ,මනස කියවීම,Čítanie mysle,Branje misli,Akhriska maskaxda,Detección de personalidad,Maca Pikiran,Kusoma Akili,Tankeläsning,Хониши ақл,மனதின் எண்ணங்களை உணர்தல்,Акыл уку,మైండ్ రీడింగ్,ንባብ ኣእምሮ,Ku Hlaya Miehleketo,Akıl okuma,Akyl okamak,Читання думок,مائنڈ ریڈنگ,Mind Reading,Aql o'qish,Darllen Meddwl,Ukufunda Ngengqondo,מיינונג רידינג,Okan kika,Ukufunda Ngengqondo,קריאת מחשבות,Mind Reading
전달,Delivery,譲渡,轉達,ส่งมอบ,传递,Transfer,Paghahatid,Penghantaran,वितरण,Giao gửi,Aflewering,De kɔma,Dorëzimi,ማድረስ,توصيل,Առաքում,বিলি কৰা,Churaña,Çatdırılma,Jiginni,Entrega,Дастаўка,ডেলিভারি,बच्चा दिहल,Dostava,Доставка,Lliurament,Paghatud,Kutumiza,Consegna,Dostava,dodávka,Levering,ޑެލިވަރީ,सपुर्दगी,Levering,Livero,Kohaletoimetamine,Vidzidzi,Toimitus,Transmission,Befalling,Entrega,Okutusa,მიწოდება,Lieferung,डिलिवरी,Διανομή,Me'ẽ,ડિલિવરી,Livrezon,Bayarwa,Hāʻawi,Kev xa khoom,Szállítás,Afhending,Nnyefe,Panangipaw-it,Seachadadh,Consegna,ವಿತರಣೆ,Жеткізу,ការដឹកជញ្ជូន,Gutanga,Go lɛf,Şandinî,گەیاندن,Жеткирүү,ການຈັດສົ່ງ,Delivery,Piegāde,Kopesa,Pristatymas,Liwwerung,Испорака,वितरण,Delivery,ഡെലിവറി,Kunsinna,ꯄꯤꯊꯣꯛꯄ,Tukunga,डिलिव्हरी,Sem,Хүргэлт,ပေးပို့ခြင်း။,डेलिभरी,Thomelo,Leveranse,ବିତରଣ,Qaqqabsiisuu,تحویلي,تحویل,Dostawa,Transferir,ਡਿਲਿਵਰੀ,Quy,Livrare,Передать,Tilivaina,वितरण,Lìbhrigeadh,Испорука,Phano,Delivery,پهچائڻ,භාරදීම,Doručenie,Dostava,gaarsiin,Transferir,Pangiriman,Uwasilishaji,Leverans,Таҳвил,டெலிவரி,Тапшыру,డెలివరీ,ምብፃሕ,Dilivhara,Teslimat,Eltip bermek,Доставка,ترسیل,يەتكۈزۈش,Yetkazib berish,Cyflwyno,Ukuhanjiswa,עקספּרעס,Ifijiṣẹ,Ukulethwa,מְסִירָה,Pangiriman
